No:,3 month,1 month,1 week,Patients num,,,,,,
720,1,1,1,80,,,,,,
721,1,1,1.522,120,,,,,,
722,1,0.999,0.861,75,,,,,,
723,1,1,1.157,95,,,,,,
724,1,1,1,50,,,,,,
725,1,1,1.02,56,,,,,,
726,1,1,1,30,,,,,,
727,1,1,0.335,97,,,,,,
728,1,1,1,57,,,,,,
729,1,1,3.937,45,,,,,,
730,1,1,1.247,53,,,,,,
731,1,1,1.001,95,,,,,,
732,1,1,0.289,29,,,,,,
733,1,1,1.056,38,,,,,,
734,1,1,1,23,,,,,,
735,1,1,0.686,27,,,,,,
736,1,1,1.275,101,,,,,,
737,1,1,2.829,85,,,,,,
738,1,1,4.139,68,,,,,,
739,1,1,1,61,,,,,,
740,1,1,1.564,38,,,,,,
741,1,1,1,50,,,,,,
742,1,1,1.807,36,,,,,,
743,1,1,0.965,76,,,,,,
744,1,1,0.941,114,,,,,,
745,1,0.999,1.799,43,,,,,,
746,1,1,3.478,77,,,,,,
747,1,1,0.386,26,,,,,,
748,1,1,0.871,36,,,,,,
749,1,1,1,34,,,,,,
750,1,1,0.81,114,,,,,,
751,1,1,1.103,65,,,,,,
752,1,1,1.075,99,,,,,,
753,1,1,1.112,65,,,,,,
754,1,1,1.072,127,,,,,,
755,1,1,1.071,65,,,,,,
756,1,1,3.97,88,,,,,,
757,1,1,0.956,58,,,,,,
758,1,1,0.672,50,,,,,,
759,1,1,1,96,,,,,,
760,1,1,1.203,53,,,,,,
761,1,1,1.995,91,,,,,,
762,1,1,1,58,,,,,,
763,1,1,0.739,58,,,,,,
764,1,1,0.945,23,,,,,,
765,1,1,2.278,109,,,,,,
766,1,1,1.247,66,,,,,,
767,1,1,1,58,,,,,,
768,1,1,1,52,,,,,,
769,1,1,1,87,,,,,,
770,1,1,1,39,,,,,,
771,1,1,0.324,45,,,,,,
772,1,1,1,79,,,,,,
773,1,1,1,107,,,,,,
774,1,1,0.26,91,,,,,,
775,1,1,1,53,,,,,,
776,1,1,0.314,26,,,,,,
777,1,1,1.005,50,,,,,,
778,1,1,1.015,106,,,,,,
779,1,1,1.003,64,,,,,,
780,1,1,1.062,48,,,,,,
781,1,1,0.414,29,,,,,,
782,1,1,1.034,53,,,,,,
783,1,1,1.032,87,,,,,,
784,1,1,1.017,63,,,,,,
785,1,1,1.073,33,,,,,,
786,1,0.999,4.744,75,,,,,,
787,1,1,1.117,82,,,,,,
788,1,1,1,72,,,,,,
789,1,1.004,0.339,64,,,,,,
790,1,1,0.294,62,,,,,,
791,1,1,1.01,35,,,,,,
792,1,1,2.903,93,,,,,,
793,1,1,1,84,,,,,,
794,1,1,0.71,24,,,,,,
795,1,1,0.882,77,,,,,,
796,1,1,1.008,75,,,,,,
797,1,1,1,96,,,,,,
798,1,1,0.302,52,,,,,,
799,1,1,1,71,,,,,,
